サービス名,URL,favicon_url,favicon_img,KeyWord,metaDiscription,OGP_url,ogp_img,OGP文章,Title,ドメイン
Peing,https://peing.net/ja/,https://s3.peing.net/t/uploads/event_theme/favicon_image/5/1ea6d906.ico,,"質問, twitter",Peing-質問箱-は、匿名で質問をする＆質問を受け取れるサービスです。質問箱は5秒で作成完了。URLをTwitterやInstagramに投稿して、いろんな人の質問に回答しよう！,https://s3.peing.net/t/uploads/event_theme/ogp_image/5/82847b13.png,,Peing-質問箱-は、匿名で質問をする＆質問を受け取れるサービスです。質問箱は5秒で作成完了。URLをTwitterやInstagramに投稿して、いろんな人の質問に回答しよう！,Peing(ペイング) -質問箱- 匿名で質問を受け取ろう,peing.net
マシュマロ,https://marshmallow-qa.com/,https://marshmallow-qa.com/assets/favicon/apple-touch-icon-e7561df9a3e3afbba110977f4cbeff235538569cf23440415df72149b4e7f7be.png,,なし,匿名のメッセージは怖い。 素敵な本音と一緒に、最低な悪口が届く。 でもマシュマロなら怖くない。 匿名のメッセージを受け付けるのに、悪口は来ない。 そんな安全な場所がマシュマロです。,https://marshmallow-qa.com/assets/card-0127e6a2b7fb93bda6f48c1f32d0a77e77a87ce81fef186d16599109a5bc3e17.png,,匿名のメッセージは怖い。 素敵な本音と一緒に、最低な悪口が届く。 でもマシュマロなら怖くない。 匿名のメッセージを受け付けるのに、悪口は来ない。 そんな安全な場所がマシュマロです。,マシュマロ,marshmallow-qa.com
ナナピ,https://nanapi.jp/,https://asset.nanapi.com/assets/apple-touch-icon-precomposed-0e3eab636d2127f7df0978fb303fa2254f85c596544f2b7d9158259bc0f36d28.png,,"nanapi,ナナピ,ななぴ,知恵,howto,ハウツー,liferecipe,ライフレシピ,らいふれしぴ",nanapiは、生活をもっと便利にするための知識や方法が集まる情報サイトです。,https://asset.nanapi.com/assets/common/logo_1200-630.png,,nanapiは、生活をもっと便利にするための知識や方法が集まる情報サイトです。,nanapi [ナナピ] | わかる・できる・たのしい！暮らしの情報サイト,nanapi.jp
LIPS,https://lipscosme.com/,https://cdn.lipscosme.com/assets/favicon/apple-touch-icon-199086cda383f3dd906aea284fdc031e33543b597964d57198e34ab15d3ac542.png,,なし,化粧品・コスメのクチコミサービスLIPS[リップス]はかわいくなりたい女子のためのサイト。リアルなクチコミから魅力的なコスメに出会ったり、メイク、美容、スキンケア、ファッション、ヘア、ネイルの記事からトレンドを知れます。かわいくなりたい・キレイになりたい女の子はLIPSまで！,,画像なし,化粧品・コスメのクチコミサービスLIPS[リップス]はかわいくなりたい女子のためのサイト。リアルなクチコミから魅力的なコスメに出会ったり、メイク、美容、スキンケア、ファッション、ヘア、ネイルの記事からトレンドを知れます。かわいくなりたい・キレイになりたい女の子はLIPSまで！,LIPS（リップス）｜コスメ・メイク・化粧品のクチコミ検索アプリ,lipscosme.com
showroom,https://www.showroom-live.com/,https://www.showroom-live.com/assets/img/v3/apple-touch-icon.png,,"showroom,ショールーム,アイドル,DeNA,ディーエヌエー,ショウルーム",HOWROOMはアーティストやアイドル、タレント等の配信が無料で視聴でき、さらに誰でもすぐに生配信が可能な、双方向コミュニケーションの仮想ライブ空間です。,https://image.showroom-live.com/showroom-prod/assets/img/icon/1024.png?t=1410538379,,SHOWROOMはアーティストやアイドル、タレント等の配信が無料で視聴でき、さらに誰でもすぐに生配信が可能な、双方向コミュニケーションの仮想ライブ空間です。,SHOWROOM,www.showroom-live.com
PinQul,https://pinqul.tv/,https://pinqul.tv/assets/favicon-b2c26cd465f6b246bad86c709918dfc82b290ab904e6ac6a47886ca41d40258e.ico,,"PinQul, 生放送, ライブ, ショッピング, ピンクル, ファッション",PinQulはライブ配信中にかわいいアイテムに出会い、その場で購入もできる新感覚のライブショッピングアプリです。,,画像なし,なし,PinQul | 次の「かわいいジブン」にライブで出会おう。,pinqul.tv
さるわか,https://saruwakakun.com/,https://saruwakakun.com/wp-content/uploads/2017/03/cropped-favicon-01-192x192.png,,なし,サルワカはあらゆることを分かりやすく解説するメディアです。何か分からないことがあったときはサルワカへどうぞ！,https://saruwakakun.com/wp-content/uploads/2017/home/tips-min.png,,サルワカはあらゆることを分かりやすく解説するメディアです。何か分からないことがあったときはサルワカへどうぞ！,サルワカ | サルでも分かる図解説明マガジン,saruwakakun.com
LIG,https://liginc.co.jp/,https://liginc.co.jp/wp-content/themes/ligtheme/assets/images/favicon.png,,なし,株式会社LIG(リグ)は東京都上野を中心に「Life is Good」掲げて活動する社長がイケメンな事で有名な会社です。Webサイト・ホームページ制作、コンテンツ制作、記事制作、コワーキング・シェアオフィス運営、ゲストハウス運営、飲食事業、教育事業、地方創生事業、プロモーション、システム開発、Webマーケティングなどをおこなっています。,https://liginc.co.jp/wp-content/uploads/2017/10/150691334095133300_52.png,,株式会社LIG(リグ)は東京都上野を中心に「Life is Good」掲げて活動する社長がイケメンな事で有名な会社です。Webサイト・ホームページ制作、コンテンツ制作、記事制作、コワーキング・シェアオフィス運営、ゲストハウス運営、飲食事業、教育事業、地方創生事業、プロモーション、システム開発、Webマーケティングなどをおこなっています。,株式会社LIG | 東京都台東区上野発のWeb制作会社、世界へ,liginc.co.jp
note,https://note.mu/notes,https://d2l930y2yx77uc.cloudfront.net/assets/favicons/production-36438be8241bc3168212696ddadf52e4594326700f6ac8d0f9ed9a5ad07a6bb6.ico,,なし,note（ノート）は、文章、写真、イラスト、音楽、映像などを手軽に投稿できるクリエイターと読者をつなぐサービスです。ブログのように使うことも、SNSのように使うことも、コンテンツを販売することも自在に活用いただけます。,https://d2l930y2yx77uc.cloudfront.net/assets/default/default_profile_ogp-01444af7688b35c221fc94abeba7a850b620058f565afc1dca291d7b3fe191f8.png,,note（ノート）は、文章、写真、イラスト、音楽、映像などを手軽に投稿できるクリエイターと読者をつなぐサービスです。ブログのように使うことも、SNSのように使うことも、コンテンツを販売することも自在に活用いただけます。,note ――つくる、つながる、とどける。,note.mu
GameWith,https://gamewith.co.jp/,https://gamewith.co.jp/wp-content/themes/corporate2017/images/favicon.ico,,"GameWith,ゲームウィズ,GameWorks,ゲームワークス",「ゲームをより楽しめる世界を創る」、株式会社GameWithのコーポレートサイトです。,https://gamewith.co.jp/wp-content/themes/corporate2017/images/gamewith-2.png,,,株式会社GameWith｜ゲームをより楽しめる世界を創る,gamewith.co.jp
